Type	EET-gene	Phylum	Normalised relative abundance (%)
GAC	MHC	Chloroflexota	1.047169394
GAC	MHC	Chloroflexota	0.688967859
GAC	non	Chloroflexota	0.363633976
GAC	non	Chloroflexota	0.817613421
GAC	MHC	Chloroflexota	1.572981502
GAC	MHC	Chloroflexota	0.71960198
GAC	non	Chloroflexota	0.65686766
GAC	non	Chloroflexota	0.770023931
GAC	non	Chloroflexota	0.499024978
GAC	non	Chloroflexota	0.552211272
GAC	MHC	Chloroflexota	1.411919461
GAC	MHC	Chloroflexota	1.411393972
GAC	MHC	Chloroflexota	0.622951747
GAC	non	Chloroflexota	0.713535671
GAC	MHC	Chloroflexota	0.094123691
GAC	non	Chloroflexota	0.254818192
GAC	non	Chloroflexota	1.84315561
GAC	non	Chloroflexota	0.348968001
GAC	epili	Chloroflexota	0.106192804
GAC	MHC	Chloroflexota	1.368004176
GAC	non	Chloroflexota	1.241753254
GAC	non	Chloroflexota	0.346058609
GAC	non	Chloroflexota	0.196421631
GAC	non	Chloroflexota	0.301357973
GAC	non	Chloroflexota	0.241726502
GAC	non	Chloroflexota	0.161774417
GAC	non	Chloroflexota	0.139008581
GAC	epili	Chloroflexota	0.116199971
GAC	MHC	Chloroflexota	0.103729437
GAC	non	Chloroflexota	0.732297561
GAC	MHC	Chloroflexota	0.148210232
GAC	non	Chloroflexota	0.264158543
GAC	MHC	Chloroflexota	2.539343429
GAC	MHC	Chloroflexota	0.096716823
GAC	MHC	Chloroflexota	1.007058939
GAC	MHC	Chloroflexota	0.233102768
GAC	non	Chloroflexota	0.978998684
GAC	MHC	Chloroflexota	0.145621615
GAC	non	Chloroflexota	0.106455843
Bulk	epili	Cloacimonadota	1.33675702
Bulk	epili	Cloacimonadota	0.129038542
Bulk	non	Cloacimonadota	0.189879235
Bulk	epili	Cloacimonadota	0.069222859
Bulk	non	Cloacimonadota	0.067374349
Bulk	epili	Cloacimonadota	0.475417636
Bulk	epili	Cloacimonadota	0.086848139
Bulk	epili	Cloacimonadota	0.080478336
Bulk	epili	Other	0.083016827
Bulk	epili	Desulfobacterota	0.432407921
Bulk	non	Desulfobacterota	0.203756527
Bulk	non	Desulfobacterota	0.326870319
Bulk	epili	Desulfobacterota	0.199880958
Bulk	non	Desulfobacterota	0.8592672
Bulk	epili	Desulfobacterota	0.652305933
Bulk	Both	Desulfobacterota	0.094877732
Bulk	epili	Desulfobacterota	0.628908775
Bulk	MHC	Desulfobacterota	0.104160587
Bulk	epili	Desulfobacterota	2.834585134
Bulk	epili	Desulfobacterota	0.233632374
Bulk	epili	Desulfobacterota	0.375055557
GAC	Both	Desulfobacterota	1.657385953
GAC	MHC	Desulfobacterota	0.562621132
GAC	MHC	Desulfobacterota	0.891655611
GAC	epili	Desulfobacterota	2.637595979
GAC	epili	Desulfobacterota	1.50046613
GAC	epili	Desulfobacterota	0.749795221
GAC	epili	Desulfobacterota	1.52738548
GAC	non	Desulfobacterota	0.530590542
GAC	non	Desulfobacterota	0.459221866
GAC	epili	Desulfobacterota	1.910735385
GAC	epili	Desulfobacterota	1.175406029
GAC	non	Desulfobacterota	0.760679419
GAC	epili	Desulfobacterota	1.827027679
GAC	Both	Desulfobacterota	0.393617781
GAC	Both	Desulfobacterota	0.74445917
GAC	non	Desulfobacterota	1.062785163
GAC	non	Desulfobacterota	1.173545097
GAC	epili	Desulfobacterota	1.251850229
GAC	epili	Desulfobacterota	1.150860316
GAC	epili	Desulfobacterota	2.537080498
GAC	epili	Desulfobacterota	0.460490673
GAC	epili	Desulfobacterota	1.169173361
GAC	epili	Desulfobacterota	1.288143309
GAC	MHC	Desulfobacterota	0.564663579
GAC	Both	Desulfobacterota	0.462417459
GAC	epili	Desulfobacterota	1.095379913
GAC	epili	Desulfobacterota	0.171642731
GAC	epili	Desulfobacterota	0.969312535
GAC	epili	Desulfobacterota	0.174251216
GAC	non	Desulfobacterota	0.421049341
GAC	epili	Desulfobacterota	0.165541309
GAC	epili	Desulfobacterota	0.158648391
GAC	epili	Desulfobacterota	0.817992128
GAC	non	Desulfobacterota	0.304038366
GAC	non	Desulfobacterota	0.248176798
GAC	epili	Desulfobacterota	4.23522558
GAC	non	Desulfobacterota	0.226407845
GAC	MHC	Desulfobacterota	1.367544845
GAC	non	Desulfobacterota	1.052535705
GAC	epili	Desulfobacterota	0.186528165
GAC	MHC	Desulfobacterota	0.319852718
GAC	MHC	Desulfobacterota	0.102559697
GAC	epili	Desulfobacterota	0.274340307
GAC	Both	Desulfobacterota	0.318706842
GAC	epili	Desulfobacterota	2.024016951
GAC	epili	Desulfobacterota	0.119108717
GAC	epili	Desulfobacterota	0.15484492
GAC	non	Desulfobacterota	0.189002885
GAC	epili	Desulfobacterota	0.070223572
GAC	epili	Desulfobacterota	0.382811097
GAC	epili	Desulfobacterota	0.458001807
GAC	non	Desulfobacterota	1.623526082
GAC	epili	Desulfobacterota	0.193253973
GAC	epili	Desulfobacterota	0.088624617
GAC	Both	Desulfobacterota	0.170601353
GAC	epili	Desulfobacterota	0.246508897
GAC	epili	Desulfobacterota	0.222625988
GAC	non	Desulfobacterota	0.184672981
GAC	epili	Desulfobacterota	0.583753469
Bulk	non	Desulfobacterota	0.243090392
Bulk	Both	Desulfobacterota	0.511904378
